address,maxBonded
thor1nuk5hzdvlxw67pazyvltgaxnc9sfr5yghfxqk0,140087.79
thor14jwux57uqphvv9hkgdnlsllpjzeq8q5k0xpkay,137195.71
thor1q5033nsdjs8sv6v4fyzptmtfknhny3we3xzzhd,133687.91
thor1f6dapwtsw7jcflmjrvrt5ntu9mz7q2hfypwtrc,132304.53
thor19m2yr79vkrhupplr2cvr7tfspm3xwcgm0refyg,127730.06
thor15czvt4nn3cf7pxjcfgrujd72vhu05390xl8nqh,127080.95
thor1urkjkfucg3qy5pgj6q098nemdfh0tt6fhy8gtg,118169.31
thor12msae5csjsvcd985n9nnp0xh7r6k8xm3xj69qe,116909.04
thor13lzzr0dt84zjpnmzp7009c5a3tztf0rnyaal5q,109014.88
thor1hn33vrpmghluxgzlw6m7appgt2rer83yqjkgdp,107233.62
thor128mnv40pg7p0tjhrzvf50kgqdzxvrhrk4rpjv0,105152.92
thor1gnl3j76rglvw3yfttl5vpgryl2gd6y9y2p9sfa,105152.92
thor1y88a6zhzr0nxz260d3wkn9dux2wmajxsnpv3sc,104734.76
thor1460khzphuzalcn77wk8ffgr3sds8zmkl6njuud,104082.03
thor1q7dy6l89ctt9npsjhafxwlu3c6x37mgxjlm4jk,103577.68
thor1q3x003230jsuva7g5s2lpla4ln53hv25pvd7xu,103421.84
thor1e7a62jdsvuqmtg38d9fx7lr48tx0jam4tdj858,103076.63
thor1gzhutkt5v2pznthpz3d9zx5fqk40gqaahny9fj,101422
thor1avmduuav755zs3xerwkg5juu9vqkwdxyq6wcxu,101304.11
thor17sjq3l95x22m96h3mua5p229favsr5c6p6ehya,95924.86
thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,94798.63
thor18uquyh2nl9chgxe63erhf68e0v9mwwwwqv9g3l,94724.62
thor1gnnzhqhk3zu44mwk5ulljq48g4au30expqug77,91563.72
thor1nmnq0r99fwfkp3pg8sdj4wlj2l96hx73m6835y,90918.28
thor1kp3r6ahpcpr0aehrhgpgqvqvqqr0ku7ltxrxtj,86440.88
thor136askulc04d0ek9yra6860vsaaamequv2l0jwh,86350.83
thor12czuykw3tv69rdu37sh5svg0698a3qhzncr9km,82118.33
thor19qps20egv5ssw8hqf8vtp0ulq4gdmdm483ta73,82099.57
