address,balance
"0xebb1761ad43034fd7faa64d84e5bbd8cb5c40b68",1469850.807090982794761658
"0x6226f4f4576ad8d09743f2624327167b993548f8",1459672.985488110221922398
"0x0d0707963952f2fba59dd06f2b425ace40b492fe",1447714.705706357257440686
"0x67148ebdc608b0baf5a65e6f23bd16dd68423c9d",1427795.099595419364050031
"0xc14eaa8284feff79edc118e06cadbf3813a7e555",1417496.178223813418298960
"0xaf2466d9492d6372d57c6ec666495690133538f4",1385632.857928352430462837
"0xe239b3148b4b366293a31801010c270a775bdce0",1376613.088427145732566714
"0xd87621fb9057d7c5b3094e3f3e2817acddad48dd",1371743.030036429874598980
"0x5939783dbf3e9f453a69bc9ddc1e492efac1fbcb",1332792.313005282310768962
"0x6dcb117da7d9d2ab547625f153263d0896b37271",1328637.469083226751536131
"0x5b3a72c83005315e738daec6f7cc7171f0d99875",1322294.822501642396673560
"0x18c529e97297c7d7da79779714b288f5c034ebe1",1304466.825512406881898642
"0x69ee0929aec103e3c50d26e6a431ce23f1ddf504",1287945.790860927896574140
"0x46e3a8c8135647b48b2e82198e42e0c69eacbab8",1284085.580561527051031590
"0x8b4334d4812c530574bd4f2763fcd22de94a969b",1278079.999985450180247426
"0x3059d394139ced01b3f268af8031f983a20b966d",1271398.809836330823600292
"0xb60b673f8d9f28d7df82fe1b8b16bfea2689b6b1",1261846.373547161929309368
"0x9f007ce4f9347e71d59e76a704d09e16676b4a42",1177866.079519254853948951
"0x5b51e854fd1859db6e7d64203c4b20bc627fb443",1167817.210523893358185887
"0xdc8583089c9c97661ff6a34dfc8d54b57227c776",1154331.800181838683784008
"0xae08f9145ef7f1ded32700a913a966b7937a0f36",1152692.000000000000000000
"0x6d5a7d415e7ee9d7167d2e66cc16f30f855bd4ce",1111722.524071091553196311
"0x1d0d16303851a92519f83dd5716e0f097ca85c6e",1098575.266633745282888412
"0x99c9fc46f92e8a1c0dec1b1747d010903e884be1",1097636.690141300437971950
"0x4a395c3729f2f1639ecddc4e98bc3af0592f92e2",1095858.443935129093006253
"0x5248079a03ffea97aea9e86a0721f8090619d036",1079834.284715317422524095
