address,balance
"0xcc87ec9278babdf0161bb8484579c069873cbace",8382.542220351986543392
"0x652ad82d4ccba3b162094b7bee69436d36754317",8144.141462556582155230
"0x120d9eefbbee95061567c44f67fe0c29dafebaab",7203.310027180103134015
"0xf77f6ff908e02553b0071160bd605ffc41041d7c",6966.216584669848998601
"0x3509b3b6fe4965b367021d5c4cb13c12c681095a",6776.733380103156378027
"0xa0b3459deb6b77164a6558cf4e70aacbe534efbc",6438.312818048187182285
"0x45d198c91f196d29fca0cf9eb77a371dd45a38ba",5994.220093968002402107
"0xe1ecc9fe982499f424664631c65cc6813f198b21",5637.341031959988868039
"0x80e46246e765f301fcb6940906eb86760e25e079",5552.328400718120064994
"0x7c2cff5b2687bda715569788b240e16dc0860c8e",5523.270906445502987481
"0x68575571e75d2cfa4222e0f8e7053f056eb91d6c",5500.000000000000000000
"0xebe714023617ff6d2e59fdba33adfd166f9668b6",4923.578796329341457749
"0xa6cbf8e843aa01a6e5a0e880f2e533b74b5e6a6a",4748.304905629240238341
"0x5bfc5a96cfbd0f3ba4bfac81165b1b2ee7c73adc",4232.539815158815144969
"0x1d649f69cb261db338d9b6be55e126351061adf2",4228.554064043793914607
"0x41cb654d1f47913acab158a8199191d160dabe4a",4164.285074674075985968
"0xc73254a75212131d5dd7872481d7afcfe603fb1a",4141.622668082027303171
"0x82e676f242976da296dd20d84689ce9a9b9fbc74",4070.051226584542746423
"0x0db20d3e73e2ae724ea881cd00483d1b5e5b08cd",4030.145624537987714575
"0x3265038d1ceab078d4b29cd5fd6d3227a305d621",4000.000000000000000000
"0x5d9ac7a6df81b63d61e58facf04c60881f59c1c3",3895.750862230309394363
"0xdee8dc634e42582f7ceb864dedc2e6fa00224649",3812.695376749731167365
"0x56f820bc0bb5326c74b804cebaa37c3ee7524f8e",3802.304207182708978507
"0x805fbe9f7d4152aa0e738ca3085f38aca2088330",3740.028423260617273627
"0x6e19b91c46b88d3339f6699f000b6af92f2db415",3705.242335674094647402
"0xcad9673f33b0ab2b780371469847751c5338741a",3543.409987933470347343
"0x4f95ee90a5017fa8f9c972f9b3a839ca63f72a91",3516.851152281867143756
"0x2bfbb3002efbc80cdd88c0fa7d65109922de18c5",3478.550697076101641869
"0x7d1e3d9240b2f9270e03222d1e17faee73606c45",3352.271018775046286464
"0xe35da02499a41529d3eca9c9f04b47fbe7d70e8f",3315.797018093933274940
"0xe04885c3f1419c6e8495c33bdcf5f8387cd88846",3106.284590238393320760
"0xc47c4c896afe31e0c37ecdb54df7836313b6504c",3055.855355402436543955
"0x1e15f9552b44e8dcf848a0cda1b20a042489e64a",3051.512354938774933544
"0x17b6b8c790a59665ae9c1d1e96bce4639dc9bf82",3008.254250421357028245
"0x5bbe7ac603a6440cc7f939c2afddc10b1947d18e",3005.851782414493754914
"0xef922d2ff032c7a3869a0bf8e45f88b8769d0fb9",2965.504104955826733203
"0x7eb9345a5253a8e070e4a137ec8460592e778018",2953.449603014935291867
"0x7a39c251eb6ab0008ab7eb0d922f4e637fec6753",2928.929869160048383492
"0xce74e8410c59448fbfd701f92fa1fe2de7f60448",2919.462587595147851971
"0x503b5c3dc691d0a3a111cdc08f04a1422b946a03",2809.859800337568231043
"0xce0376046c24c708605e8491c98314bfea652b1d",2776.003669106255529186
"0x4153165e406f7606bea52d97760d0829f393fbc4",2736.961673619841803884
"0x97cf936b3bdfe291e03d8f3b999af6dbaaadfd6d",2674.916759733141589095
"0x46feb250b958924d6d0e04568dce36e7af1a6bc2",2665.963671453252572974
"0x4a41f3d9df03b76bf80a9455f17cb04743301a44",2637.095827407165870682
"0x89b06c5ff2cf8d63a1ff3439b8cae0628634fd3e",2500.000000000000000000
"0x39a4cdf0116534915391b9e3dae8d8bfadc0d703",2392.709422341536537715
"0xd9c5d973f8296ee5c79500897a8856092866dffd",2320.832881874783197418
"0x513b84383298316c6f318dbb4d582c136fed1c1b",2304.170266181872648303
"0x5a5faafdedca55a18f0247075ec966252a1b4c63",2281.133835123112930887
"0xc7833d3630289f0ab459cdb27322bce7663838f9",2273.114153794480444049
"0xc4acff3300f18b3f3c8889562369e24c7e8e41a5",2261.140489095613702375
"0x045aa94318725ddb4325c3f6e5058464c5833cc9",2217.465305567887298821
"0x6c295fb848b0cf0cc4d6dd442bca2a886af758fd",2214.950376258661890461
"0x4f4e99cde9b7d68ff6dd38101a3526ed2a2f6422",2213.867416693967243191
